Name	Ra	Dec	l	b	F>100MeV	P	Pdot	P2dot	Epoch(MJD)	phi0
PSRCRAB	83.64	+22.01	184.56	-5.78	226.5E-8	0.033	422.0E-15	1E-19		51900		0.02
PSRVELA	128.83	-45.18	263.55	-2.79	9E-6		0.089	2.0E-15		2E-20		51900		0.03
PSRGEMINGA	98.48	17.78	195.13	4.27		3.66E-6	0.237	11.4E-15		2E-20		51900	0.21	
PSR1055-52	164.49	-52.45	285.98	6.65		21.9E-8	0.197	5.8E-15			32E-20		51900	0.12
PSR1706-44	257.43	-44.49	343.10	-2.69		122.7E-8	0.102	92.2e-15	1E-23		51900	0.11	
PSRTEST		50	20	20	20		9E-8	0.001		2.0E-15		3.0E-17		51900	0.13
PSRTEST0	27.152	-36.11	27.152	-36.11	9e-06	0.001	1e-08	1e-22	51900	0.47	
PSRTEST1	90.459	-17.736	90.459	-17.736	9e-06	0.001	1e-08	1e-21	51900	0.85	
PSRTEST2	263.15	-74.071	263.15	-74.071	9e-06	0.001	1e-08	1e-20	51900	0.31	
PSRTEST3	296.35	29.387	296.35	29.387	9e-06	0.001	1e-08	1e-19	51900	0.64	
PSRTEST4	120.69	35.772	120.69	35.772	9e-06	0.001	1e-08	1e-18	51900	0.71	
PSRTEST5	321.96	-48.039	321.96	-48.039	9e-06	0.001	1e-09	1e-22	51900	0.23	
PSRTEST6	85.88	59.265	85.88	59.265	9e-06	0.001	1e-09	1e-21	51900	0.36	
PSRTEST7	263.2	-26.823	263.2	-26.823	9e-06	0.001	1e-09	1e-20	51900	0.15	
PSRTEST8	198.73	65.429	198.73	65.429	9e-06	0.001	1e-09	1e-19	51900	0.74	
PSRTEST9	330.08	-65.044	330.08	-65.044	9e-06	0.001	1e-09	1e-18	51900	0.088	
PSRTEST10	119.02	-75.597	119.02	-75.597	9e-06	0.001	1e-10	1e-22	51900	0.81	
PSRTEST11	304.67	-52.704	304.67	-52.704	9e-06	0.001	1e-10	1e-21	51900	0.11	
PSRTEST12	310.29	25.331	310.29	25.331	9e-06	0.001	1e-10	1e-20	51900	0.59	
PSRTEST13	282.01	-7.4701	282.01	-7.4701	9e-06	0.001	1e-10	1e-19	51900	0.11	
PSRTEST14	124.41	-24.575	124.41	-24.575	9e-06	0.001	1e-10	1e-18	51900	0.61	
PSRTEST15	94.72	51.589	94.72	51.589	9e-06	0.001	1e-11	1e-22	51900	0.13	
PSRTEST16	147.94	75.336	147.94	75.336	9e-06	0.001	1e-11	1e-21	51900	0.26	
PSRTEST17	202.69	-58.608	202.69	-58.608	9e-06	0.001	1e-11	1e-20	51900	0.59	
PSRTEST18	98.329	-61.364	98.329	-61.364	9e-06	0.001	1e-11	1e-19	51900	0.15	
PSRTEST19	306.79	28.259	306.79	28.259	9e-06	0.001	1e-11	1e-18	51900	0.12	
PSRTEST20	131.87	-35.406	131.87	-35.406	9e-06	0.001	1e-12	1e-22	51900	0.52	
PSRTEST21	340.91	-38.206	340.91	-38.206	9e-06	0.001	1e-12	1e-21	51900	0.36	
PSRTEST22	186.99	-66.384	186.99	-66.384	9e-06	0.001	1e-12	1e-20	51900	0.87	
PSRTEST23	309.53	-73.066	309.53	-73.066	9e-06	0.001	1e-12	1e-19	51900	0.021	
PSRTEST24	235.5	43.607	235.5	43.607	9e-06	0.001	1e-12	1e-18	51900	0.34	
PSRTEST25	8.2902	8.9292	8.2902	8.9292	9e-06	0.001	1e-13	1e-22	51900	0.79	
PSRTEST26	31.003	-46.833	31.003	-46.833	9e-06	0.001	1e-13	1e-21	51900	0.87	
PSRTEST27	252.76	56.766	252.76	56.766	9e-06	0.001	1e-13	1e-20	51900	0.68	
PSRTEST28	107.63	-6.0498	107.63	-6.0498	9e-06	0.001	1e-13	1e-19	51900	0.087	
PSRTEST29	66.072	-14.894	66.072	-14.894	9e-06	0.001	1e-13	1e-18	51900	0.33	
PSRTEST30	13.99	-70.328	13.99	-70.328	9e-06	0.001	1e-14	1e-22	51900	0.35	
PSRTEST31	118.79	23.063	118.79	23.063	9e-06	0.001	1e-14	1e-21	51900	0.047	
PSRTEST32	86.171	23.139	86.171	23.139	9e-06	0.001	1e-14	1e-20	51900	0.22	
PSRTEST33	194.69	-69.791	194.69	-69.791	9e-06	0.001	1e-14	1e-19	51900	0.7	
PSRTEST34	50.193	-84.642	50.193	-84.642	9e-06	0.001	1e-14	1e-18	51900	0.8	
PSRTEST35	194.05	65.949	194.05	65.949	9e-06	0.001	1e-15	1e-22	51900	0.11	
PSRTEST36	178.45	-87.839	178.45	-87.839	9e-06	0.001	1e-15	1e-21	51900	0.4	
PSRTEST37	81.188	27.942	81.188	27.942	9e-06	0.001	1e-15	1e-20	51900	0.44	
PSRTEST38	186.19	83.966	186.19	83.966	9e-06	0.001	1e-15	1e-19	51900	0.74	
